id_time,nome_time,total_gols_time,total_partidas_time,total_vitorias_time,total_derrotas_time,total_empates_time,media_gols_time,winrate_time,lossrate_time,drawrate_time,saldo_time,ratio_vd_time,invencibilidade_time
2,Liverpool,43052,16768,6348,6528,3892,2.567509541984733,0.3785782442748092,0.3893129770992366,0.2321087786259542,-180,0.9722775310154694,0.6106870229007634
3,Manchester United,27808,11188,4452,4212,2524,2.4855202002145154,0.3979263496603504,0.3764747944225956,0.22559885591705398,240,1.0567291716116782,0.6235252055774043
4,Chelsea,7864,3248,1254,1232,762,2.4211822660098523,0.38608374384236455,0.3793103448275862,0.23460591133004927,22,1.0170316301703164,0.6206896551724138
6,Manchester City,33940,13690,5278,5288,3124,2.47918188458729,0.3855368882395909,0.3862673484295106,0.22819576333089847,-10,0.9979202117602571,0.6137326515704894
7,Arsenal,22052,9080,3486,3628,1966,2.42863436123348,0.383920704845815,0.39955947136563874,0.21651982378854626,-142,0.9605952052907137,0.6004405286343613
8,Tottenham Hotspur,31890,13210,5188,5034,2988,2.414080242240727,0.3927327781983346,0.38107494322482965,0.22619227857683574,154,1.03038728897716,0.6189250567751703
9,Bayern Munich,39618,15494,6182,5804,3508,2.5569898025041953,0.398993158642055,0.3745966180456951,0.22641022331224991,378,1.0649440137812232,0.6254033819543049
10,RB Leipzig,14412,6604,2512,2590,1502,2.182313749242883,0.3803755299818292,0.39218655360387644,0.22743791641429437,-78,0.9695098417599383,0.6078134463961236
11,Borussia Dortmund,21466,9050,3764,3442,1844,2.3719337016574586,0.4159116022099448,0.3803314917127072,0.20375690607734806,322,1.0932326459483008,0.6196685082872928
12,Bayer 04 Leverkusen,21550,9042,3692,3488,1862,2.383322273833223,0.4083167440831674,0.38575536385755366,0.20592789205927892,204,1.058182860418458,0.6142446361424464
14,Milan,11660,3256,1296,1370,590,3.581081081081081,0.39803439803439805,0.42076167076167076,0.18120393120393122,-74,0.9452954048140044,0.5792383292383292
15,Napoli,11422,3210,1286,1348,576,3.5582554517133955,0.40062305295950157,0.41993769470404985,0.17943925233644858,-62,0.9532987398072647,0.5800623052959502
17,Internazionale,12120,3288,1334,1324,630,3.6861313868613137,0.4057177615571776,0.402676399026764,0.19160583941605838,10,1.0067924528301886,0.597323600973236
19,Barcelona,27062,10166,3942,3888,2336,2.6620106236474523,0.3877631320086563,0.38245130828251034,0.22978555970883335,54,1.0136281820519413,0.6175486917174897
